"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","VALUE","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2015",13,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2016",11.538461538,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2017",11.664190193,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",11.714285714,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2015",17.04325299,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2016",15.670899643,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2017",15.38215397,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2018",14.876690892,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2015",4.672,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2016",3.7012987013,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2017",4.1902961563,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2015",18.62745098,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2016",18.221153846,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2017",18.17322239,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2018",18.518518519,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2019",17.59375,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2015",16.455154158,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2016",16.023430838,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2017",15.614010894,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2018",15.127413864,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2019",14.714332257,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2015",5.8360481128,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2016",5.7326280384,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2017",5.2966919656,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2018",4.8632060095,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2015",18.055981324,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2016",16.47225837,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2017",17.717920638,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2018",18.855203722,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2015",13.049450549,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2016",13.691416535,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2015",15.816326531,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2016",15.510718789,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2017",16.19047619,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2018",15.250121418,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2015",6.25,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2016",4.486279454,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2017",4.486279454,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2018",4.486279454,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2015",9.5238095238,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2016",9.3643171806,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2015",9.931403069,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2016",11.543446315,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2016",5.5555555533,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2015",25.731790334,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2016",24.601289447,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2017",24.518092661,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2018",23.537368955,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2019",23.480013436,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2015",37.176281754,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2016",36.666666667,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2017",34.617382557,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2018",34.107310951,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2019",32.480444715,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2015",16.666666667,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2016",16.492248062,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2017",11.111111111,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2019",18.75,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2015",7.92,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2016",7.7692307692,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2017",7.1508379888,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2018",7.8696925329,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2019",6.5084501978,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2015",7.4622984919,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2016",6.764027671,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2017",6.3909774436,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2018",5.8492413118,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2019",4.9940828402,
"POL","WAGEGAP","EMPLOYEE","PC","A","2016",9.4178809362,
"POL","WAGEGAP","EMPLOYEE","PC","A","2018",11.497909952,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2015",18.917016404,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2016",14.313146076,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2017",14.773510708,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2018",9.5866017068,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2015",13.376624885,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2016",13.899182143,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2017",15.040042332,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2018",15.662080133,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2019",13.869849949,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2015",8.3333333333,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2016",8.1699346405,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2017",7.3482428115,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2018",7.1428571429,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2019",7.5757575758,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2016",14.762372073,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2018",15.095647352,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2015",17.101551481,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2016",16.796536797,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2017",16.534100525,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2018",16.310424203,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2019",16.008911521,
"USA","WAGEGAP","EMPLOYEE","PC","A","2015",18.882681564,
"USA","WAGEGAP","EMPLOYEE","PC","A","2016",18.142076503,
"USA","WAGEGAP","EMPLOYEE","PC","A","2017",18.172157279,
"USA","WAGEGAP","EMPLOYEE","PC","A","2018",18.910585817,
"USA","WAGEGAP","EMPLOYEE","PC","A","2019",18.470705065,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2015",14.285714286,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2017",12.5,
"COL","WAGEGAP","EMPLOYEE","PC","A","2015",11.141715728,
"COL","WAGEGAP","EMPLOYEE","PC","A","2016",7.0917506686,
"COL","WAGEGAP","EMPLOYEE","PC","A","2017",7.6923076923,
"COL","WAGEGAP","EMPLOYEE","PC","A","2018",5.7879259259,
"COL","WAGEGAP","EMPLOYEE","PC","A","2019",4,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2015",3.7037037037,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2016",1.7857142857,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2017",2.967032967,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2018",4.7252747253,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2019",0,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2015",20.439189189,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2016",21.593332041,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2017",21.791789941,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2018",22.659192432,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2015",13.8043890607853,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2016",13.2659380064312,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2017",13.1170207672857,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2018",13.006253349396,
